,Unnamed: 0,Unnamed: 0.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico
2,2,4,2020,SP,VEREADOR,VALDIR LUQUEZE BENICIO,250000809329,APTO,DEFERIDO,PARTIDO LIBERAL,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,165.78,165.78,0.0,0.0,0.0,0.0,165.78,165.78,165.78
5,5,8,2020,RS,VEREADOR,ELTON CARLOS SIRENA,210001247614,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,350.0,350.0,0.0,0.0,386.25,772.5,736.25,1122.5,350.0
6,6,9,2020,RS,VEREADOR,CARINE JANICE SOUTO ELEGEDA,210000977490,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,47.37,47.37,0.0,0.0,220.47333333333304,1984.26,267.843333333333,2031.63,47.37
9,9,14,2020,SE,VEREADOR,JOSE ADAGILSON DOS SANTOS,260001051334,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,400.0,1200.0,0.0,0.0,400.0,400.0,800.0,1600.0,1200.0
12,12,17,2020,MT,VEREADOR,ROGÉRIO MORAES BORGES OLIVEIRA,110001207409,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,20,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,16253.93,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,906.407142857143,6344.85,1906.40714285714,7344.85,1000.0
19,19,28,2020,BA,VEREADOR,JORGE ARIEL SANTOS DA COSTA,50001085949,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,47036.96,DEFERIDO,DEFERIDO,661.31,3967.86,0.0,0.0,0.0,0.0,661.31,3967.86,3967.86
23,23,32,2020,CE,VEREADOR,MARIA DA LUZ DA SILVA CRUZ,60000769274,APTO,DEFERIDO,REPUBLICANOS,28,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,52799.66,DEFERIDO,DEFERIDO,300.0,600.0,0.0,0.0,500.0,1000.0,800.0,1600.0,600.0
25,25,35,2020,RJ,VEREADOR,VICTOR BERNARDO DA SILVA,190000648127,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,22,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,102076.08,DEFERIDO,DEFERIDO,475.0,1425.0,0.0,0.0,1520.84769230769,19771.02,1995.8476923076896,21196.02,1425.0
26,26,37,2020,PE,VEREADOR,AMANDA CRISTINA PEREIRA DA SILVA FRANÇA,170000762100,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,27,FEMININO,SUPERIOR INCOMPLETO,BRANCA,39466.41,DEFERIDO,DEFERIDO,0.0,0.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0
28,28,41,2020,RS,VEREADOR,ALINE BLANK BANDEIRA,210000810910,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,FEMININO,SUPERIOR INCOMPLETO,BRANCA,25100.6,DEFERIDO,DEFERIDO,3475.0,3475.0,0.0,0.0,677.6,3388.0,4152.6,6863.0,3475.0
29,29,42,2020,BA,VEREADOR,RAFAEL DE JESUS,50001198669,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,22,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,16506.56,DEFERIDO,DEFERIDO,43.0,258.0,0.0,0.0,469.0,1407.0,512.0,1665.0,258.0
30,30,44,2020,CE,VEREADOR,FRANCISCO JOSE BEZERRA ARAÚJO,60000671990,APTO,DEFERIDO,PROGRESSISTAS,27,MASCULINO,SUPERIOR COMPLETO,NEGRA,23655.79,DEFERIDO,DEFERIDO,2000.0,2000.0,0.0,0.0,955.0,2865.0,2955.0,4865.0,2000.0
32,32,47,2020,GO,VEREADOR,DHYÉZIFI DE OLIVEIRA MAGALHÃES,90001080011,APTO,DEFERIDO,CIDADANIA,25,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,55553.68,DEFERIDO,DEFERIDO,82.6666666666667,248.0,0.0,0.0,400.0,1200.0,482.666666666667,1448.0,248.0
33,33,48,2020,PA,VEREADOR,MIRIAN DE PAULA BARBOSA AMADOR,140001138813,APTO,DEFERIDO,PARTIDO VERDE,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SEM INFORMAÇÃO,438043.03,DEFERIDO,DEFERIDO,2285.71,2285.71,0.0,0.0,0.0,0.0,2285.71,2285.71,2285.71
34,34,49,2020,SP,VEREADOR,KAIQUE DOS SANTOS SILVA,250000666971,APTO,DEFERIDO,SOLIDARIEDADE,18,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,61.29,367.74,0.0,0.0,61.29,367.74,367.74
35,35,50,2020,RS,VEREADOR,ANDRESSA SARAIVA ORTIZ,210000671442,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,225.5,451.0,64.5,64.5,203.50333333333305,1221.02,493.503333333333,1736.52,515.5
37,37,52,2020,TO,VEREADOR,GEDERSON MOREIRA CEZAR,270000675544,APTO,DEFERIDO,DEMOCRATAS,29,MASCULINO,SUPERIOR COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,122.75,491.0,0.0,0.0,571.25,3427.5,694.0,3918.5,491.0
38,38,54,2020,PR,VEREADOR,PEDRO LUIZ DE OLIVEIRA MATTOS,160000999806,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,23959.22,DEFERIDO,DEFERIDO,77.5,77.5,0.0,0.0,160.0,800.0,237.5,877.5,77.5
39,39,55,2020,AL,VEREADOR,JOSÉ DE OLIVERA FARIAS,20000777464,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,77.55,77.55,0.0,0.0,300.0,300.0,377.55,377.55,77.55
40,40,56,2020,PR,VEREADOR,JULIANO DANIELSKI,160000855792,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,229.018,2290.18,0.0,0.0,305.0,610.0,534.018,2900.18,2290.18
42,42,58,2020,SP,VEREADOR,WILLIAN KAZUYOSHI TAVARES KIMURA,250000809743,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,MASCULINO,ENSINO MÉDIO COMPLETO,AMARELA,12307.75,DEFERIDO,DEFERIDO,60.0,60.0,0.0,0.0,100.0,100.0,160.0,160.0,60.0
44,44,60,2020,MG,VEREADOR,GABRIELE SALES SALDANHA,130001174085,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,21159.76,DEFERIDO,DEFERIDO,165.0,660.0,0.0,0.0,660.0,660.0,825.0,1320.0,660.0
46,46,62,2020,MS,VEREADOR,RODRIGO FARIAS DOS SANTOS,120001076133,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,27,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,1200.0,1200.0,0.0,0.0,1000.5,6003.0,2200.5,7203.0,1200.0
48,48,64,2020,ES,VEREADOR,WASHINGTON SANTOS DA SILVA,80001194523,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,26,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,134864.52,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0
49,49,65,2020,RJ,VEREADOR,JHONATAN ALAN CHAGAS FERREIRA,190001081505,APTO,DEFERIDO,PARTIDO LIBERAL,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,NEGRA,104887.86,DEFERIDO,DEFERIDO,113.35,226.7,0.0,0.0,0.0,0.0,113.35,226.7,226.7
