,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
128,2020,MG,VEREADOR,YARA MARQUES LOPES,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,23,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,PENDENTE DE JULGAMENTO
318,2020,MG,VEREADOR,ANDREIA FERREIRA CASTRO,APTO,DEFERIDO,PARTIDO VERDE,28,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,50907.47,DEFERIDO,PENDENTE DE JULGAMENTO
323,2020,SP,VEREADOR,JOÃO PAULO DE SOUZA NOGUEIRA,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,25,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,22684.34,PENDENTE DE JULGAMENTO,PENDENTE DE JULGAMENTO
358,2020,RJ,VEREADOR,KAÍSA ECKHARDT LEÔNCIO,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,21,FEMININO,ENSINO MÉDIO INCOMPLETO,PRETA,294898.68,DEFERIDO,PENDENTE DE JULGAMENTO
448,2020,CE,VEREADOR,EDUARDA HULLE PEREIRA DANTAS,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,28,FEMININO,SUPERIOR COMPLETO,BRANCA,20933.97,DEFERIDO,PENDENTE DE JULGAMENTO
752,2020,SP,VEREADOR,RENAN FERNANDES DE OLIVEIRA,APTO,DEFERIDO,PODEMOS,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,701644.03,INDEFERIDO,PENDENTE DE JULGAMENTO
1917,2020,ES,VEREADOR,LETICIA BELATO,APTO,DEFERIDO,PARTIDO VERDE,27,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,21125.62,DEFERIDO,PENDENTE DE JULGAMENTO
2030,2020,SP,VEREADOR,MATEUS ALVES RODRIGUES,APTO,DEFERIDO,REDE SUSTENTABILIDADE,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,164003.69,DEFERIDO,PENDENTE DE JULGAMENTO
2187,2020,SP,VEREADOR,JOABSON MENEZES SANTOS,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,25,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,163307.42,PENDENTE DE JULGAMENTO,PENDENTE DE JULGAMENTO
2281,2020,SP,VICE-PREFEITO,WELLINGTON LUIS PEGORIN,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,27,MASCULINO,SUPERIOR COMPLETO,BRANCA,,DEFERIDO,PENDENTE DE JULGAMENTO
2286,2020,SP,VEREADOR,YGOR FERNANDO DA SILVA MELO,APTO,DEFERIDO,PODEMOS,24,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,22684.34,PENDENTE DE JULGAMENTO,PENDENTE DE JULGAMENTO
2393,2020,GO,VICE-PREFEITO,OSÉIAS GONÇALVES MARGARIDA,APTO,DEFERIDO,PROGRESSISTAS,29,MASCULINO,SUPERIOR COMPLETO,PRETA,,DEFERIDO,PENDENTE DE JULGAMENTO
