,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico,soma_fund_publico_dic
0,2,2,4,2020,SP,VEREADOR,VALDIR LUQUEZE BENICIO,250000809329,APTO,DEFERIDO,PARTIDO LIBERAL,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,165.78,165.78,0.0,0.0,0.0,0.0,165.78,165.78,165.78,0.0
1,5,5,8,2020,RS,VEREADOR,ELTON CARLOS SIRENA,210001247614,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,350.0,350.0,0.0,0.0,386.25,772.5,736.25,1122.5,350.0,0.0
2,6,6,9,2020,RS,VEREADOR,CARINE JANICE SOUTO ELEGEDA,210000977490,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,47.37,47.37,0.0,0.0,220.47333333333302,1984.26,267.843333333333,2031.63,47.37,0.0
8,26,26,37,2020,PE,VEREADOR,AMANDA CRISTINA PEREIRA DA SILVA FRANÇA,170000762100,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,27,FEMININO,SUPERIOR INCOMPLETO,BRANCA,39466.41,DEFERIDO,DEFERIDO,0.0,0.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0,0.0
10,29,29,42,2020,BA,VEREADOR,RAFAEL DE JESUS,50001198669,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,22,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,16506.56,DEFERIDO,DEFERIDO,43.0,258.0,0.0,0.0,469.0,1407.0,512.0,1665.0,258.0,0.0
12,32,32,47,2020,GO,VEREADOR,DHYÉZIFI DE OLIVEIRA MAGALHÃES,90001080011,APTO,DEFERIDO,CIDADANIA,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,55553.68,DEFERIDO,DEFERIDO,82.6666666666667,248.0,0.0,0.0,400.0,1200.0,482.666666666667,1448.0,248.0,0.0
17,38,38,54,2020,PR,VEREADOR,PEDRO LUIZ DE OLIVEIRA MATTOS,160000999806,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,23959.22,DEFERIDO,DEFERIDO,77.5,77.5,0.0,0.0,160.0,800.0,237.5,877.5,77.5,0.0
18,39,39,55,2020,AL,VEREADOR,JOSÉ DE OLIVERA FARIAS,20000777464,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,77.55,77.55,0.0,0.0,300.0,300.0,377.55,377.55,77.55,0.0
20,42,42,58,2020,SP,VEREADOR,WILLIAN KAZUYOSHI TAVARES KIMURA,250000809743,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,MASCULINO,ENSINO MÉDIO COMPLETO,AMARELA,12307.75,DEFERIDO,DEFERIDO,60.0,60.0,0.0,0.0,100.0,100.0,160.0,160.0,60.0,0.0
23,48,48,64,2020,ES,VEREADOR,WASHINGTON SANTOS DA SILVA,80001194523,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,134864.52,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0
24,49,49,65,2020,RJ,VEREADOR,JHONATAN ALAN CHAGAS FERREIRA,190001081505,APTO,DEFERIDO,PARTIDO LIBERAL,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,104887.86,DEFERIDO,DEFERIDO,113.35,226.7,0.0,0.0,0.0,0.0,113.35,226.7,226.7,0.0
28,55,55,74,2020,MG,VEREADOR,JOSIANE APARECIDA DE MELO FERREIRA,130001063489,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,73.0,73.0,0.0,0.0,153.333333333333,460.0,226.333333333333,533.0,73.0,0.0
40,80,80,107,2020,MG,VEREADOR,MAYCON BRIGIDA DA SILVA,130000760691,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,27,MASCULINO,SUPERIOR COMPLETO,PARDA,15377.0,DEFERIDO,DEFERIDO,50.0,50.0,0.0,0.0,99.305,397.22,149.305,447.22,50.0,0.0
43,85,85,114,2020,BA,VEREADOR,IVO RODRIGUES DA CONCEIÇÃO,50000798923,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,23,MASCULINO,SUPERIOR INCOMPLETO,PARDA,42133.06,DEFERIDO,DEFERIDO,115.0,345.0,0.0,0.0,400.0,400.0,515.0,745.0,345.0,0.0
45,88,88,118,2020,SE,VEREADOR,MICHEL BISPO DE OLIVEIRA,260001128189,APTO,DEFERIDO,SOLIDARIEDADE,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,133.0,133.0,0.0,0.0,837.5,1675.0,970.5,1808.0,133.0,0.0
48,92,92,125,2020,MA,VEREADOR,ANTONIA FERNANDA FERREIRA DA SILVA,100001111653,APTO,DEFERIDO,PODEMOS,23,FEMININO,SUPERIOR INCOMPLETO,PARDA,149404.9,DEFERIDO,DEFERIDO,48.0,48.0,0.0,0.0,500.0,1000.0,548.0,1048.0,48.0,0.0
50,95,95,131,2020,MG,VEREADOR,HENRIQUE RODRIGUES BRASIL COSTA,130000859934,APTO,DEFERIDO,REDE SUSTENTABILIDADE,21,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,23117.67,DEFERIDO,DEFERIDO,135.85,271.7,0.0,0.0,2334.3333333333303,7003.0,2470.18333333333,7274.7,271.7,0.0
53,109,109,150,2020,MG,VEREADOR,MILENA ÂNGELA CREPALDI SILVA,130000653785,APTO,DEFERIDO,PATRIOTA,21,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,9.0,9.0,0.0,0.0,137.25,137.25,146.25,146.25,9.0,0.0
59,123,123,166,2020,MG,VEREADOR,ALVARO NAZARENO DA SILVA,130001128310,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,64.0,64.0,0.0,0.0,33.75,67.5,97.75,131.5,64.0,0.0
63,135,135,187,2020,MG,VEREADOR,VANESSA APARECIDA BATISTA,130000822912,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0
69,157,157,221,2020,RN,VEREADOR,FRANCISCO DE ASSIS LIMA DE OLIVEIRA,200001036207,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,28,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,70.0,140.0,0.0,0.0,0.0,0.0,70.0,140.0,140.0,0.0
72,163,163,233,2020,PE,VEREADOR,FILIPE LINS OLIVEIRA DA SILVA,170001072679,APTO,DEFERIDO,PATRIOTA,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,23077.95,DEFERIDO,DEFERIDO,120.0,120.0,0.0,0.0,323.94333333333304,971.83,443.943333333333,1091.83,120.0,0.0
78,173,173,246,2020,PI,VEREADOR,MARIO PAIVA AMORIM CAMPOS,180000961888,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,27,MASCULINO,SUPERIOR COMPLETO,PARDA,50458.45,DEFERIDO,DEFERIDO,160.175,320.35,0.0,0.0,147.725,295.45,307.9,615.8,320.35,0.0
86,190,190,271,2020,BA,VEREADOR,ROMENNIA ROCHA DOS SANTOS,50000798925,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,19,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,42133.06,DEFERIDO,DEFERIDO,115.0,345.0,0.0,0.0,0.0,0.0,115.0,345.0,345.0,0.0
88,196,196,280,2020,SP,VEREADOR,LUAN HENRIQUE NOLLI,250000800398,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,30671.25,DEFERIDO,DEFERIDO,85.0,85.0,0.0,0.0,0.0,0.0,85.0,85.0,85.0,0.0
96,216,216,306,2020,MG,VEREADOR,RODOLFO ALVES DINIZ,130001136967,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,67919.22,DEFERIDO,DEFERIDO,76.8625,307.45,0.0,0.0,144.42,144.42,221.2825,451.87,307.45,0.0
98,219,219,309,2020,GO,VEREADOR,CLELVIO ROSA MOURA,90000954297,APTO,DEFERIDO,PROGRESSISTAS,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,80.0,80.0,0.0,0.0,321.656363636364,3538.22,401.656363636364,3618.22,80.0,0.0
99,221,221,313,2020,BA,VEREADOR,JULIANA DA SILVA CAMPOS,50001047522,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,25,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,39419.57,DEFERIDO,DEFERIDO,158.0,158.0,0.0,0.0,80.225,160.45,238.225,318.45,158.0,0.0
104,237,237,338,2020,MG,VEREADOR,BRUNA DOS SANTOS FRANCISCO ANDRADE,130001247987,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,28,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,62.313333333333304,186.94,0.0,0.0,0.0,0.0,62.313333333333304,186.94,186.94,0.0
106,242,242,344,2020,TO,VEREADOR,IRANI RODRIGUES COSTA,270001020494,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,24,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,173.75,347.5,0.0,0.0,0.0,0.0,173.75,347.5,347.5,0.0
111,253,253,360,2020,MG,VEREADOR,JEFERSON HUGO DE SANTANA MATOS,130000749849,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,23,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,16167.86,DEFERIDO,DEFERIDO,101.3,303.9,0.0,0.0,435.0,870.0,536.3,1173.9,303.9,0.0
117,265,265,380,2020,RS,VEREADOR,BRUNA DA ROSA MENDES,210001167334,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,300.0,300.0,0.0,0.0,287.25,574.5,587.25,874.5,300.0,0.0
118,267,267,383,2020,PR,VEREADOR,MICHEL LUCAS DOS SANTOS,160001138990,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PRETA,46503.35,DEFERIDO,DEFERIDO,147.515,295.03,0.0,0.0,242.5625,970.25,390.0775,1265.28,295.03,0.0
119,268,268,384,2020,MG,VEREADOR,MONISE EUZÉBIO GRAÇA,130001072527,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,26,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,144.64,144.64,0.0,0.0,323.285,646.57,467.925,791.21,144.64,0.0
122,274,274,390,2020,PE,VEREADOR,TARCIANA GOMES DE OLIVEIRA,170001183255,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,24,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,24175.84,DEFERIDO,DEFERIDO,100.0,200.0,0.0,0.0,0.0,0.0,100.0,200.0,200.0,0.0
131,289,289,407,2020,SE,VEREADOR,KAROLINE SANTOS DE OLIVEIRA,260000893615,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,20,FEMININO,ENSINO MÉDIO COMPLETO,AMARELA,12307.75,DEFERIDO,DEFERIDO,74.5,74.5,69.215,138.43,750.0,750.0,893.715,962.93,212.93,0.0
152,347,347,484,2020,SP,VEREADOR,ANDRE SANT ANNA CELENTO VASCONCELLOS DA SILVA,250000650820,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,108.0,216.0,0.0,0.0,0.0,0.0,108.0,216.0,216.0,0.0
159,370,370,515,2020,SP,VEREADOR,LUANA DO CARMO ARAUJO,250001056222,APTO,DEFERIDO,SOLIDARIEDADE,25,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,30671.25,DEFERIDO,DEFERIDO,300.0,300.0,0.0,0.0,68.3885714285714,478.72,368.388571428571,778.72,300.0,0.0
164,378,378,526,2020,MG,VEREADOR,ALINE MARILEIA ALVES FERREIRA,130000831030,APTO,DEFERIDO,PROGRESSISTAS,26,FEMININO,SUPERIOR COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,90.0,180.0,0.0,0.0,1800.0,1800.0,1890.0,1980.0,180.0,0.0
165,380,380,529,2020,PR,VEREADOR,MIGUEL FILIPE IZAC COUTINHO,160000932056,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,18,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,15.0,15.0,0.0,0.0,190.45,190.45,205.45,205.45,15.0,0.0
168,393,393,546,2020,BA,VEREADOR,BRUNA SANTOS DA SILVA,50001174664,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,300.0,300.0,0.0,0.0,300.0,300.0,600.0,600.0,300.0,0.0
171,400,400,553,2020,MS,VEREADOR,DANIELA DE JESUS DA SILVA,120001113894,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,28,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,27332.82,DEFERIDO,DEFERIDO,0.0,0.0,175.0,350.0,282.5,1695.0,457.5,2045.0,350.0,0.0
173,402,402,555,2020,MG,VEREADOR,RAFAEL FELIPE MARQUES,130001190337,APTO,DEFERIDO,SOLIDARIEDADE,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,201824.84,DEFERIDO,DEFERIDO,218.0,218.0,0.0,0.0,311.63,934.89,529.63,1152.89,218.0,0.0
181,425,425,584,2020,SP,VEREADOR,MURILO HENRIQUE SILVA PARRA,250000790926,APTO,DEFERIDO,DEMOCRATAS,25,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,40945.33,DEFERIDO,DEFERIDO,0.0,0.0,17.12,17.12,0.0,0.0,17.12,17.12,17.12,0.0
182,426,426,585,2020,AM,VEREADOR,CLEIDSON HIPY DA SILVA,40001194144,APTO,DEFERIDO,PODEMOS,22,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,22079.85,DEFERIDO,DEFERIDO,0.0,0.0,61.8,123.6,0.0,0.0,61.8,123.6,123.6,0.0
195,458,458,620,2020,PR,VEREADOR,TIERRI AUGUSTO RODRIGUES SILVA,160001109682,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,21,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,15570.63,DEFERIDO,DEFERIDO,175.0,175.0,0.0,0.0,300.0,300.0,475.0,475.0,175.0,0.0
197,465,465,630,2020,BA,VEREADOR,JANINI SILVA ALVES,50001210451,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,19,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,48662.08,DEFERIDO,DEFERIDO,0.0,0.0,50.0,100.0,0.0,0.0,50.0,100.0,100.0,0.0
198,466,466,631,2020,MG,VEREADOR,TATYANE DA SOLIDADE SANTOS,130001123110,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,27,FEMININO,SUPERIOR COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,120.0,120.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,0.0
200,474,474,640,2020,SP,VEREADOR,TULIU ALEXANDRO CLEMENTINO MONTEIRO,250000663298,APTO,DEFERIDO,REPUBLICANOS,29,MASCULINO,SUPERIOR INCOMPLETO,PARDA,107447.98,DEFERIDO,DEFERIDO,0.0,0.0,64.395,128.79,40.0,40.0,104.395,168.79,128.79,0.0
203,479,479,645,2020,MG,VEREADOR,MARILIA CAVINI DESSIMONE,130000687886,APTO,DEFERIDO,PROGRESSISTAS,24,FEMININO,SUPERIOR INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,40.0,40.0,0.0,0.0,201.81,1009.05,241.81,1049.05,40.0,0.0
205,487,487,656,2020,MG,VEREADOR,CLEITON RAFAEL DA SILVA,130001043034,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,27,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,175.0,350.0,0.0,0.0,85.0,85.0,260.0,435.0,350.0,0.0
206,488,488,658,2020,RJ,VEREADOR,JULDÁZIO ARCHANJO DA SILVA,190001130007,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,62.5,62.5,0.0,0.0,43.6666666666667,131.0,106.166666666667,193.5,62.5,0.0
207,492,492,663,2020,ES,VEREADOR,FAGNER GOMES MOREIRA,80001268345,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,26,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,15425.21,DEFERIDO,DEFERIDO,46.875,93.75,0.0,0.0,0.0,0.0,46.875,93.75,93.75,0.0
209,497,497,674,2020,BA,VEREADOR,SELMA SOUSA ALVES,50001094787,APTO,DEFERIDO,REPUBLICANOS,21,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,50.0,100.0,0.0,0.0,50.0,50.0,100.0,150.0,100.0,0.0
210,498,498,675,2020,PR,VEREADOR,MARCIO FELIPE DA SILVA,160001225899,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,44.0175,176.07,0.0,0.0,47.25,94.5,91.2675,270.57,176.07,0.0
212,501,501,678,2020,MG,VEREADOR,DANILO ANTONIO PEIXOTO,130000827122,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,25172.34,DEFERIDO,DEFERIDO,148.0,296.0,0.0,0.0,0.0,0.0,148.0,296.0,296.0,0.0
220,522,522,700,2020,GO,VEREADOR,JOSE ANTÔNIO CORREA NETO,90001015452,APTO,DEFERIDO,SOLIDARIEDADE,25,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,23339.59,DEFERIDO,DEFERIDO,56.6666666666667,170.0,0.0,0.0,119.883333333333,719.3,176.55,889.3,170.0,0.0
221,523,523,702,2020,MA,VEREADOR,TATIANE ARAÚJO MOREIRA,100000825842,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,23,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,101765.74,DEFERIDO,DEFERIDO,156.25,312.5,0.0,0.0,200.0,200.0,356.25,512.5,312.5,0.0
230,540,540,725,2020,MG,VEREADOR,ADEILSON SILVEIRA,130000676531,APTO,DEFERIDO,SOLIDARIEDADE,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,68.97,68.97,0.0,0.0,401.1516666666671,2406.91,470.121666666667,2475.88,68.97,0.0
235,548,548,737,2020,MG,VEREADOR,LUCAS APARECIDO MANCINI DE OLIVEIRA,130000799145,APTO,DEFERIDO,AVANTE,29,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,146.16,292.32,0.0,0.0,440.05,880.1,586.21,1172.42,292.32,0.0
243,563,563,758,2020,CE,VEREADOR,KAREN ALICE CASTRO DE SOUZA,60001152393,APTO,DEFERIDO,PARTIDO DA MOBILIZAÇÃO NACIONAL,20,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,93994.11,DEFERIDO,DEFERIDO,126.73,126.73,0.0,0.0,0.0,0.0,126.73,126.73,126.73,0.0
247,568,568,764,2020,PR,VEREADOR,ALANE DE CAMARGO,160000667918,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,90.5,181.0,0.0,0.0,36.0,36.0,126.5,217.0,181.0,0.0
248,569,569,766,2020,RN,VEREADOR,LEANDRO FREIRE,200000660815,APTO,DEFERIDO,SOLIDARIEDADE,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,26979.56,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0
250,574,574,772,2020,MG,VEREADOR,ANDRIELLE DE FATIMA ARRUDA GONÇALVES,130000800945,APTO,DEFERIDO,DEMOCRATAS,23,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,58.0,58.0,0.0,0.0,140.095,280.19,198.095,338.19,58.0,0.0
