,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico,soma_fund_publico_dic
5,19,19,28,2020,BA,VEREADOR,JORGE ARIEL SANTOS DA COSTA,50001085949,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,47036.96,DEFERIDO,DEFERIDO,661.31,3967.86,0.0,0.0,0.0,0.0,661.31,3967.86,3967.86,1.0
9,28,28,41,2020,RS,VEREADOR,ALINE BLANK BANDEIRA,210000810910,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,24,FEMININO,SUPERIOR INCOMPLETO,BRANCA,25100.6,DEFERIDO,DEFERIDO,3475.0,3475.0,0.0,0.0,677.6,3388.0,4152.6,6863.0,3475.0,1.0
25,51,51,68,2020,PA,VEREADOR,ODENISE RODRIGUES GONCALVES,140000741441,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,23,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,32740.39,DEFERIDO,DEFERIDO,5046.38,5046.38,0.0,0.0,0.0,0.0,5046.38,5046.38,5046.38,1.0
26,52,52,69,2020,MG,VEREADOR,TIFANY DOS SANTOS SILVA,130000854427,APTO,DEFERIDO,PATRIOTA,22,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,7500.0,7500.0,0.0,0.0,0.0,0.0,7500.0,7500.0,7500.0,1.0
27,53,53,71,2020,AP,VEREADOR,DENILSON DOS SANTOS MACHADO,30000854482,APTO,DEFERIDO,REDE SUSTENTABILIDADE,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,67946.23,DEFERIDO,DEFERIDO,20000.0,40000.0,3800.0,3800.0,0.0,0.0,23800.0,43800.0,43800.0,1.0
39,78,78,105,2020,MA,VEREADOR,BRENDA MEDEIROS DE MATOS ALMEIDA,100000848665,APTO,DEFERIDO,PODEMOS,20,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,504192.26,DEFERIDO,DEFERIDO,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,1.0
51,104,104,141,2020,SP,VEREADOR,DEBORA MARTINS DA SILVA,250000664215,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,113318.61,DEFERIDO,DEFERIDO,750.0,3750.0,0.0,0.0,909.023333333333,2727.07,1659.0233333333301,6477.07,3750.0,1.0
52,106,106,143,2020,BA,VEREADOR,MATHEUS RODRIGUES DE OLIVEIRA,50000921063,APTO,DEFERIDO,PROGRESSISTAS,27,MASCULINO,SUPERIOR COMPLETO,PARDA,15415.63,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,396.78571428571405,2777.5,10396.7857142857,12777.5,10000.0,1.0
55,111,111,152,2020,RS,VEREADOR,LAURA SOARES SITO SILVEIRA,210000845671,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,FEMININO,SUPERIOR COMPLETO,PRETA,489142.84,DEFERIDO,DEFERIDO,10075.184000000001,50375.92,448.0,1344.0,537.229885057471,46739.0,11060.4138850575,98458.92,51719.92,1.0
56,114,114,156,2020,RS,VEREADOR,GIOVANE MARTINS VAZ DOS SANTOS,210001250416,APTO,DEFERIDO,CIDADANIA,26,MASCULINO,SUPERIOR COMPLETO,BRANCA,489142.84,DEFERIDO,DEFERIDO,1798.285,7193.14,0.0,0.0,3252.755,19516.53,5051.04,26709.67,7193.14,1.0
